道路编号	县区	乡	道路等级	速度
224	11县区	3乡	次干路	38.59350998
225	科技县	1乡	快速路	107.2344565
226	10县区	1乡	快速路	94.19456327
227	10县区	4乡	次干路	39.4384428
228	10县区	1乡	支路	23.87331148
229	11县区	3乡	支路	24.45367656
230	科技县	3乡	次干路	45.45253506
231	科技县	4乡	主干路	68.14227715
232	科技县	1乡	次干路	36.13853735
233	09县区	3乡	快速路	104.1944719
234	科技县	4乡	主干路	52.41653701
235	09县区	2乡	主干路	66.08969907
236	11县区	4乡	快速路	91.71329547
237	11县区	4乡	快速路	92.39072611
238	09县区	1乡	快速路	85.9908374
239	11县区	4乡	支路	21.26147053
240	科技县	3乡	快速路	110.250433
241	11县区	4乡	主干路	53.12936655
242	09县区	3乡	支路	23.51448439
243	科技县	1乡	支路	21.96761536
244	11县区	2乡	快速路	111.0428684
245	10县区	2乡	快速路	108.5081463
246	11县区	4乡	快速路	94.21873019
247	10县区	3乡	主干路	54.55552304
248	11县区	4乡	次干路	46.59710494
249	科技县	1乡	次干路	33.36062919
250	科技县	3乡	次干路	35.60196452
251	10县区	2乡	支路	22.20975584
252	11县区	3乡	支路	25.79241058
253	科技县	4乡	主干路	59.82850124
254	09县区	4乡	快速路	96.62460771
255	11县区	3乡	主干路	67.5344904
256	11县区	3乡	快速路	99.58416509
257	科技县	3乡	快速路	117.1326899
258	11县区	4乡	主干路	51.28503797
259	科技县	2乡	支路	28.95594986
260	11县区	2乡	次干路	38.28885557
261	11县区	2乡	主干路	60.48154858
262	09县区	2乡	支路	25.80637484
263	11县区	1乡	支路	23.85471973
264	09县区	2乡	支路	23.98549333
265	10县区	4乡	次干路	41.42576073
266	科技县	4乡	支路	22.07839162
267	09县区	3乡	支路	26.08899726
268	11县区	4乡	次干路	40.86165509
269	09县区	4乡	快速路	91.8197355
270	10县区	4乡	主干路	61.79731146
271	09县区	1乡	次干路	39.93544105
272	科技县	2乡	快速路	80.77436448
273	科技县	1乡	主干路	69.84116112
274	09县区	4乡	支路	29.48031498
275	09县区	1乡	主干路	64.66030305
276	09县区	3乡	次干路	44.42196861
277	10县区	3乡	主干路	79.42538712
278	科技县	1乡	主干路	70.04117047
279	10县区	2乡	次干路	47.75507243
280	09县区	4乡	次干路	32.58680766
281	10县区	1乡	主干路	75.936147
282	10县区	1乡	次干路	33.95961404
283	科技县	3乡	快速路	93.48075406
284	10县区	4乡	主干路	71.56580112
285	科技县	2乡	次干路	37.51748423
286	科技县	3乡	次干路	35.25305603
287	09县区	1乡	支路	25.37478598
288	10县区	3乡	次干路	39.20366685
289	09县区	4乡	主干路	51.64297804
290	11县区	1乡	支路	22.77238376
291	10县区	1乡	主干路	57.55776521
292	10县区	2乡	快速路	116.349725
293	科技县	2乡	快速路	106.3402325
294	11县区	4乡	快速路	118.804112
295	11县区	3乡	主干路	77.96395992
296	11县区	3乡	主干路	70.18121624
297	11县区	2乡	快速路	111.2391804
298	11县区	3乡	快速路	111.5905015
299	科技县	3乡	支路	28.67286859
300	11县区	4乡	支路	26.24729979
301	科技县	3乡	快速路	81.18097425
302	11县区	3乡	支路	23.2313084
303	09县区	3乡	主干路	52.11489524
304	10县区	1乡	次干路	32.18595497
305	11县区	4乡	快速路	90.53862653
306	10县区	2乡	次干路	38.51533244
307	11县区	1乡	主干路	56.02124639
308	09县区	4乡	支路	20.02544765
309	09县区	1乡	快速路	119.1861535
310	10县区	2乡	次干路	33.55576698
311	11县区	1乡	支路	20.82743891
312	科技县	4乡	次干路	40.49610944
313	11县区	3乡	快速路	100.0710533
314	11县区	2乡	主干路	60.95149013
315	11县区	3乡	快速路	102.7719752
316	09县区	2乡	快速路	96.68726975
317	科技县	4乡	支路	22.78148831
318	科技县	4乡	支路	25.38021826
319	09县区	1乡	主干路	72.0255975
320	科技县	2乡	快速路	95.02882535
321	科技县	3乡	快速路	117.3554892
322	10县区	4乡	次干路	46.84859714
323	10县区	1乡	快速路	115.5182962
324	科技县	3乡	快速路	111.4861702
325	11县区	3乡	快速路	108.0658393
326	11县区	3乡	主干路	79.37575364
327	09县区	1乡	主干路	57.46413569
328	科技县	2乡	次干路	32.02527136
329	09县区	1乡	主干路	50.79759155
330	09县区	3乡	支路	23.61787465
331	11县区	1乡	快速路	82.29214649
332	09县区	2乡	主干路	65.99755865
333	09县区	1乡	支路	29.57486432
334	11县区	2乡	次干路	31.83327578
335	09县区	1乡	主干路	50.49365261
336	科技县	2乡	主干路	62.50610085
337	09县区	4乡	次干路	30.21656572
338	科技县	3乡	次干路	48.06739491
339	11县区	4乡	主干路	69.94984396
340	科技县	1乡	快速路	110.5765709
341	10县区	4乡	主干路	77.38012407
342	科技县	3乡	次干路	32.13769247
343	10县区	1乡	次干路	35.91333769
344	09县区	1乡	主干路	59.05573891
345	11县区	2乡	主干路	75.65142717
346	科技县	4乡	主干路	62.01397583
347	09县区	3乡	支路	27.15806832
348	10县区	1乡	支路	27.25899675
349	科技县	1乡	支路	26.82674795
350	11县区	2乡	次干路	41.69055516
351	10县区	1乡	支路	20.7339785
352	科技县	4乡	支路	26.27439744
353	11县区	2乡	主干路	69.54159907
354	11县区	2乡	快速路	94.60711905
355	科技县	3乡	主干路	72.89408924
356	09县区	1乡	次干路	43.07137132
357	10县区	2乡	快速路	84.9777974
358	科技县	3乡	快速路	87.65623322
359	科技县	4乡	支路	25.63244379
360	11县区	1乡	次干路	36.9437265
361	09县区	3乡	次干路	42.6745871
362	科技县	4乡	支路	20.95587045
363	科技县	2乡	主干路	59.90906493
364	11县区	1乡	主干路	65.58819025
365	10县区	4乡	快速路	83.52391357
366	科技县	2乡	支路	22.26524925
367	11县区	1乡	支路	27.89079176
368	11县区	3乡	次干路	35.39642154
369	10县区	1乡	次干路	42.48627194
370	10县区	2乡	次干路	47.1986587
371	10县区	3乡	主干路	61.31930881
372	10县区	4乡	快速路	97.32535073
373	科技县	1乡	快速路	99.04041749
374	11县区	3乡	主干路	63.35040403
375	11县区	4乡	快速路	110.9321371
376	09县区	3乡	次干路	44.45044208
377	10县区	3乡	快速路	93.00298366
378	09县区	3乡	支路	29.0136688
379	11县区	1乡	主干路	62.57211449
380	科技县	2乡	次干路	37.91264046
381	09县区	4乡	快速路	85.82823435
382	11县区	4乡	主干路	71.96728459
383	09县区	4乡	次干路	49.96024709
384	09县区	1乡	主干路	72.78667353
385	10县区	3乡	主干路	69.60950545
386	11县区	2乡	次干路	30.85264012
387	11县区	3乡	支路	23.07042118
388	11县区	2乡	快速路	95.40932758
389	10县区	2乡	主干路	53.70229884
390	10县区	3乡	快速路	109.0712319
391	09县区	1乡	次干路	38.43591014
392	09县区	3乡	主干路	79.6752834
393	10县区	2乡	快速路	100.2296655
394	11县区	1乡	主干路	76.34853299
395	11县区	2乡	快速路	104.9720829
396	10县区	3乡	支路	27.26996572
397	09县区	1乡	支路	23.54721431
398	11县区	1乡	支路	23.46853217
399	科技县	2乡	主干路	62.67948572
400	09县区	4乡	快速路	86.58482103
401	10县区	4乡	次干路	46.44810793
402	09县区	4乡	次干路	48.46137979
403	09县区	3乡	快速路	116.1592189
404	09县区	1乡	支路	26.28822416
405	11县区	1乡	主干路	77.96415915
406	11县区	3乡	主干路	77.4085219
407	11县区	2乡	支路	21.49649076
408	10县区	1乡	次干路	41.33661061
409	10县区	3乡	支路	29.59896588
410	科技县	2乡	次干路	46.41824783
411	科技县	2乡	快速路	115.9931824
412	科技县	1乡	主干路	73.98305499
413	11县区	1乡	支路	27.63654921
414	10县区	2乡	次干路	30.67511898
415	科技县	3乡	支路	28.69931236
416	科技县	4乡	快速路	113.4659863
417	10县区	2乡	快速路	105.7662353
418	科技县	2乡	支路	20.58521601
419	科技县	4乡	主干路	61.12476877
420	科技县	3乡	快速路	105.2446391
421	科技县	2乡	次干路	45.40370732
422	10县区	1乡	快速路	80.32326273
423	科技县	2乡	主干路	71.28165505
424	09县区	1乡	支路	21.78628506
425	09县区	1乡	主干路	60.42494519
426	10县区	1乡	次干路	30.72652046
427	11县区	2乡	支路	22.19922781
428	10县区	2乡	快速路	96.58177165
429	11县区	3乡	快速路	82.54870427
430	09县区	2乡	次干路	31.30330971
431	科技县	3乡	主干路	51.83211808
432	11县区	2乡	快速路	114.1576548
433	09县区	2乡	主干路	58.56129711
434	10县区	3乡	次干路	47.78200282
435	09县区	3乡	次干路	42.06477115
436	09县区	3乡	次干路	45.93338333
437	10县区	1乡	主干路	53.90044831
438	科技县	1乡	快速路	99.73713367
439	11县区	4乡	主干路	59.5155324
440	10县区	4乡	次干路	30.74560175
441	10县区	4乡	次干路	40.09843006
442	11县区	2乡	支路	25.7163787
443	11县区	1乡	快速路	92.32847576
444	10县区	3乡	支路	21.02443148
445	09县区	4乡	次干路	41.78492597
446	11县区	4乡	主干路	79.83448529
447	11县区	3乡	主干路	73.54136398
448	科技县	4乡	次干路	30.05035545
449	科技县	1乡	次干路	34.00353381
450	科技县	1乡	快速路	105.9489221
451	11县区	3乡	快速路	108.9643084
452	09县区	1乡	次干路	35.73249816
453	科技县	1乡	支路	25.09871089
454	科技县	3乡	主干路	72.39872914
455	11县区	2乡	次干路	38.30182411
456	科技县	2乡	次干路	38.36950095
457	09县区	4乡	次干路	38.3967953
458	11县区	2乡	主干路	70.93614891
459	10县区	4乡	次干路	33.28087797
460	11县区	4乡	主干路	68.92290379
461	科技县	4乡	快速路	96.02488821
462	11县区	3乡	快速路	82.00386649
463	10县区	3乡	支路	24.90411781
464	科技县	4乡	次干路	40.42570509
465	09县区	3乡	次干路	43.64877511
466	10县区	2乡	快速路	107.9765207
467	11县区	4乡	次干路	47.39615627
468	11县区	3乡	主干路	76.66480603
469	10县区	1乡	快速路	96.96625413
470	09县区	1乡	次干路	47.19969248
471	科技县	2乡	主干路	66.66334962
472	科技县	1乡	次干路	36.52830106
473	10县区	1乡	次干路	40.31144449
474	科技县	1乡	支路	23.58875276
475	10县区	3乡	次干路	30.19290858
476	11县区	3乡	主干路	53.12765389
477	09县区	3乡	支路	28.54776917
478	11县区	3乡	主干路	66.35565255
479	10县区	3乡	快速路	116.9696812
480	10县区	4乡	快速路	85.66561986
481	11县区	4乡	支路	25.10785581
482	科技县	3乡	主干路	50.62805771
483	10县区	1乡	主干路	72.6837008
484	科技县	1乡	次干路	42.951644
485	10县区	2乡	主干路	75.15983816
486	11县区	2乡	主干路	75.32983049
487	科技县	4乡	支路	23.03578823
488	09县区	1乡	快速路	114.6888358
489	09县区	4乡	快速路	88.85864467
490	10县区	3乡	主干路	64.23137965
491	11县区	2乡	主干路	55.44420297
492	09县区	3乡	主干路	51.65854864
493	10县区	1乡	次干路	36.21560723
494	09县区	4乡	次干路	36.7770176
495	09县区	4乡	支路	29.63649612
496	09县区	2乡	快速路	99.48814836
497	11县区	4乡	快速路	80.48602206
498	11县区	1乡	次干路	41.18062809
499	科技县	1乡	支路	24.42548515
500	09县区	2乡	主干路	61.96629686
501	11县区	1乡	次干路	36.57947978
502	09县区	2乡	主干路	70.38326707
503	09县区	4乡	主干路	52.87179943
504	09县区	1乡	快速路	80.94379868
505	科技县	3乡	次干路	34.74834845
506	10县区	1乡	主干路	69.88304188
507	09县区	2乡	主干路	75.55143516
508	10县区	4乡	主干路	66.99545262
509	10县区	1乡	次干路	37.10117452
510	科技县	3乡	次干路	34.25790492
511	10县区	3乡	次干路	48.49897716
512	10县区	3乡	次干路	36.53885136
513	科技县	1乡	次干路	35.66675205
514	11县区	1乡	快速路	118.557975
515	09县区	1乡	次干路	30.04308779
516	09县区	4乡	主干路	54.36998816
517	科技县	3乡	次干路	42.53674695
518	10县区	2乡	支路	26.49454989
519	09县区	3乡	主干路	75.1599466
520	09县区	2乡	次干路	34.06396557
521	10县区	2乡	次干路	30.59799813
522	10县区	2乡	主干路	67.19207659
523	科技县	3乡	次干路	33.44349635
524	11县区	3乡	支路	28.7667134
525	09县区	1乡	主干路	59.9158336
526	09县区	1乡	主干路	62.52303281
527	09县区	4乡	快速路	116.3075219
528	11县区	3乡	主干路	56.93847567
529	科技县	1乡	次干路	39.18546534
530	09县区	4乡	次干路	48.76535363
531	11县区	3乡	次干路	37.75243226
532	09县区	1乡	快速路	118.620542
533	09县区	2乡	快速路	108.8014519
534	11县区	4乡	主干路	61.95425876
535	科技县	3乡	主干路	59.56762885
536	科技县	1乡	次干路	45.75779743
537	10县区	3乡	次干路	41.67259464
538	11县区	4乡	快速路	114.9586143
539	科技县	2乡	主干路	64.07094181
540	11县区	1乡	主干路	57.05523508
541	10县区	4乡	次干路	33.51405421
542	10县区	3乡	主干路	59.93725762
543	09县区	3乡	次干路	49.37478463
544	10县区	2乡	主干路	72.80779258
545	09县区	1乡	次干路	38.46463737
546	09县区	3乡	支路	24.31711458
547	科技县	4乡	次干路	31.03225507
548	11县区	3乡	快速路	85.90173232
549	10县区	4乡	次干路	46.99764748
550	10县区	2乡	次干路	30.85967393
551	10县区	1乡	主干路	50.28046467
552	科技县	4乡	主干路	50.91905204
553	09县区	4乡	主干路	70.02321277
554	10县区	1乡	次干路	35.9117578
555	科技县	3乡	次干路	35.08900838
556	10县区	1乡	支路	28.77909839
557	10县区	2乡	快速路	111.800566
558	科技县	2乡	快速路	94.17101231
559	科技县	2乡	次干路	32.29196669
560	11县区	1乡	次干路	38.50647178
561	科技县	3乡	次干路	45.63757348
562	10县区	2乡	快速路	103.1035123
563	10县区	1乡	主干路	75.00433902
564	09县区	1乡	主干路	79.7696388
565	科技县	2乡	次干路	44.64402102
566	科技县	3乡	主干路	55.88060294
567	科技县	1乡	主干路	79.738281
568	09县区	1乡	次干路	44.40985859
569	科技县	2乡	支路	25.49215277
570	科技县	3乡	主干路	79.10262268
571	10县区	2乡	次干路	40.10912168
572	科技县	3乡	支路	27.64312605
573	10县区	2乡	支路	29.34127557
574	科技县	4乡	次干路	47.54999775
575	科技县	1乡	快速路	113.5265386
576	科技县	2乡	快速路	89.61954299
577	11县区	3乡	主干路	68.65169808
578	11县区	1乡	主干路	69.34464786
579	09县区	1乡	主干路	66.52072099
580	10县区	4乡	快速路	81.66746272
581	11县区	3乡	主干路	54.340227
582	10县区	4乡	快速路	102.3222241
583	11县区	2乡	主干路	79.41716253
584	09县区	1乡	主干路	50.00639253
585	科技县	2乡	主干路	70.91439141
586	09县区	4乡	支路	20.51897047
587	11县区	2乡	主干路	75.46117467
588	11县区	2乡	快速路	117.4094125
589	科技县	2乡	支路	29.84255585
590	科技县	4乡	次干路	34.20016995
591	科技县	3乡	快速路	117.7292874
592	10县区	2乡	次干路	41.37873841
593	09县区	4乡	支路	28.31407054
594	09县区	3乡	次干路	41.51387987
595	10县区	3乡	支路	24.54086653
596	11县区	2乡	快速路	100.2789063
597	09县区	3乡	主干路	78.84721863
598	09县区	2乡	支路	27.17279744
599	科技县	4乡	次干路	47.57586531
600	科技县	1乡	快速路	111.208096
601	11县区	1乡	次干路	43.58971874
602	11县区	1乡	支路	24.04625889
603	09县区	1乡	支路	23.43306675
604	科技县	2乡	次干路	35.45224928
605	09县区	1乡	支路	23.61782756
606	10县区	4乡	快速路	107.975686
607	科技县	2乡	主干路	70.55992364
608	科技县	3乡	次干路	43.25876817
609	科技县	2乡	支路	23.82734161
610	科技县	2乡	次干路	49.72970114
611	10县区	2乡	快速路	112.0063277
612	09县区	1乡	支路	21.42953499
613	科技县	1乡	次干路	31.59648294
614	10县区	1乡	主干路	77.67562176
615	科技县	2乡	主干路	70.12423932
616	科技县	1乡	次干路	43.98969214
617	10县区	4乡	主干路	60.0700311
618	科技县	1乡	支路	27.79240662
619	科技县	4乡	支路	27.87173959
620	11县区	1乡	次干路	38.21851809
621	10县区	4乡	快速路	92.49295152
622	10县区	4乡	支路	26.80120022
623	10县区	2乡	主干路	52.89144138
624	10县区	2乡	支路	29.20077763
625	09县区	1乡	主干路	55.17198919
626	科技县	2乡	支路	24.05922086
627	09县区	1乡	次干路	30.54184754
628	11县区	3乡	支路	27.07805165
629	10县区	4乡	次干路	39.17084573
630	科技县	3乡	主干路	77.02009811
631	09县区	1乡	快速路	94.343866
632	11县区	2乡	快速路	94.37863976
633	科技县	1乡	支路	22.08491071
634	科技县	1乡	次干路	41.7042486
635	09县区	4乡	支路	27.52671926
636	09县区	4乡	次干路	32.45271852
637	09县区	1乡	快速路	98.57017337
638	11县区	4乡	支路	24.77634291
639	科技县	1乡	主干路	63.60275247
640	科技县	3乡	快速路	85.91314914
641	09县区	3乡	支路	23.48098936
642	科技县	1乡	次干路	32.10326965
643	科技县	2乡	次干路	44.05714791
644	09县区	3乡	快速路	100.8890038
645	09县区	1乡	支路	23.61572468
646	09县区	4乡	次干路	42.77540953
647	09县区	2乡	快速路	89.29412713
648	09县区	3乡	快速路	102.3515114
649	10县区	3乡	主干路	74.32159193
650	科技县	1乡	支路	28.13918884
651	11县区	1乡	支路	21.10172772
652	11县区	4乡	支路	29.24634433
653	10县区	3乡	支路	27.76112975
654	11县区	2乡	次干路	36.43295247
655	09县区	1乡	快速路	95.38810768
656	11县区	2乡	主干路	62.71861939
657	科技县	2乡	次干路	47.97573891
658	10县区	1乡	主干路	79.69430475
659	10县区	2乡	主干路	71.70494292
660	10县区	2乡	支路	21.64647739
661	09县区	1乡	支路	24.08043142
662	11县区	1乡	支路	20.59206497
663	10县区	1乡	支路	25.44308604
664	科技县	2乡	支路	23.64879452
665	11县区	1乡	快速路	82.98448691
666	09县区	3乡	主干路	77.41374712
667	10县区	1乡	支路	28.27826225
668	11县区	1乡	次干路	33.29831768
669	09县区	3乡	次干路	35.3537198
670	10县区	4乡	次干路	42.39237348
671	11县区	1乡	支路	25.45891379
672	科技县	1乡	快速路	111.1257369
673	科技县	2乡	次干路	30.46044798
674	11县区	4乡	主干路	77.7896761
675	科技县	4乡	支路	20.46613963
676	09县区	4乡	主干路	68.62668939
677	11县区	2乡	快速路	103.7404369
678	11县区	4乡	主干路	52.9768141
679	10县区	2乡	主干路	72.83224661
680	11县区	2乡	支路	25.6059249
681	11县区	3乡	主干路	55.31191519
682	科技县	3乡	快速路	118.5193209
683	11县区	2乡	支路	22.25577581
684	09县区	4乡	主干路	62.21509459
685	科技县	1乡	次干路	40.06594296
686	10县区	1乡	次干路	40.47419212
687	11县区	4乡	主干路	72.31158932
688	09县区	1乡	主干路	69.10919737
689	09县区	1乡	支路	26.77302236
690	10县区	2乡	次干路	42.28244667
691	10县区	2乡	次干路	46.57401189
692	09县区	4乡	支路	23.01452196
693	09县区	4乡	支路	22.16002426
694	11县区	3乡	主干路	62.78453389
695	科技县	3乡	主干路	77.14994354
696	09县区	4乡	支路	26.4665068
697	09县区	4乡	支路	20.45986636
698	10县区	2乡	次干路	33.52569914
699	科技县	2乡	主干路	71.3510785
700	10县区	4乡	支路	26.90277958
701	11县区	4乡	支路	21.04235494
702	科技县	2乡	快速路	107.6939323
703	11县区	4乡	快速路	95.39950645
704	09县区	3乡	主干路	50.65417516
705	09县区	4乡	快速路	95.13354781
706	科技县	3乡	次干路	40.20258501
707	09县区	2乡	支路	27.92879122
