道路编号	县区	乡	道路等级	速度
160	10县区	2乡	快速路	90.95899318
161	11县区	2乡	主干路	74.69889061
162	09县区	2乡	快速路	118.0864746
163	10县区	4乡	快速路	110.1535547
164	09县区	2乡	主干路	73.69999747
165	10县区	4乡	次干路	42.33234789
166	09县区	2乡	次干路	38.91939404
167	09县区	3乡	快速路	113.0305124
168	09县区	3乡	支路	22.75208529
169	11县区	3乡	主干路	64.64660557
170	11县区	3乡	主干路	69.7648313
171	10县区	3乡	主干路	59.32040661
172	10县区	2乡	快速路	118.382634
173	10县区	4乡	次干路	38.91198963
174	科技县	3乡	主干路	55.06806283
175	科技县	1乡	次干路	43.99943948
176	10县区	4乡	次干路	42.07712955
177	科技县	4乡	快速路	111.1161817
178	科技县	3乡	支路	29.72236058
179	科技县	1乡	支路	25.78853776
180	科技县	1乡	支路	21.17553915
181	11县区	2乡	支路	22.65665845
182	10县区	1乡	支路	20.79094341
183	11县区	2乡	主干路	54.71935599
184	科技县	3乡	支路	27.17088239
185	09县区	2乡	支路	27.69894046
186	09县区	1乡	次干路	36.37470659
187	10县区	1乡	次干路	49.00679852
188	09县区	3乡	主干路	68.33055184
189	科技县	4乡	次干路	30.13117295
190	10县区	2乡	主干路	54.06834515
191	10县区	1乡	次干路	44.54091773
192	09县区	3乡	主干路	61.90801798
193	科技县	1乡	快速路	106.8444866
194	10县区	4乡	次干路	40.89182653
195	11县区	3乡	主干路	61.69533716
196	09县区	1乡	快速路	108.1293466
197	10县区	2乡	支路	20.97834107
198	11县区	3乡	次干路	30.21313499
199	10县区	3乡	主干路	56.4521302
200	科技县	4乡	快速路	84.1610981
201	10县区	4乡	主干路	79.88991121
202	10县区	4乡	快速路	88.75922081
203	09县区	3乡	次干路	47.15333296
204	10县区	2乡	支路	23.23742772
205	科技县	3乡	主干路	60.89177717
206	科技县	4乡	主干路	70.87990172
207	科技县	4乡	主干路	70.75899732
208	科技县	4乡	次干路	32.34913779
209	科技县	1乡	支路	21.93385742
210	科技县	1乡	主干路	60.56733079
211	11县区	3乡	快速路	115.0035659
212	科技县	1乡	快速路	91.31102168
213	11县区	2乡	快速路	101.5873602
214	11县区	4乡	次干路	38.23450534
215	科技县	4乡	快速路	97.56424749
216	09县区	4乡	支路	20.59824655
217	10县区	4乡	支路	28.63735528
218	10县区	3乡	主干路	56.9580923
219	11县区	3乡	次干路	41.70820291
220	11县区	4乡	主干路	74.7238807
221	09县区	1乡	主干路	64.62409917
222	10县区	1乡	主干路	69.69184244
223	11县区	1乡	支路	25.82344192
224	科技县	2乡	主干路	54.22562434
225	10县区	4乡	次干路	40.20290353
226	10县区	4乡	支路	24.10386288
227	10县区	1乡	次干路	38.45157113
228	科技县	1乡	支路	23.98791067
229	09县区	2乡	支路	24.81176527
230	科技县	4乡	主干路	67.22599224
231	11县区	2乡	主干路	54.01226844
232	科技县	4乡	次干路	41.8337578
233	09县区	3乡	主干路	60.45167639
234	10县区	2乡	主干路	56.04604885
235	11县区	4乡	主干路	62.33765571
236	科技县	4乡	快速路	114.5855507
237	10县区	3乡	主干路	64.16851681
238	11县区	1乡	快速路	119.3815133
239	09县区	4乡	快速路	114.8529936
240	11县区	2乡	次干路	43.80366508
241	11县区	4乡	主干路	73.5575023
242	科技县	1乡	支路	23.77748033
243	科技县	2乡	支路	25.54878689
244	09县区	4乡	主干路	74.77526084
245	11县区	4乡	快速路	99.22412827
246	科技县	2乡	次干路	45.17905678
247	科技县	4乡	次干路	47.71599084
248	11县区	1乡	快速路	83.00443899
249	科技县	2乡	主干路	73.59978476
250	11县区	1乡	支路	27.83880708
251	09县区	3乡	主干路	63.82298003
252	11县区	1乡	快速路	104.6374805
253	科技县	3乡	快速路	106.0171745
254	09县区	3乡	支路	20.96997737
255	09县区	1乡	次干路	46.04773347
256	09县区	2乡	支路	26.02448229
257	科技县	1乡	主干路	69.72897591
258	10县区	4乡	次干路	30.39730379
259	09县区	3乡	快速路	108.8677938
260	10县区	1乡	次干路	39.78791491
261	09县区	3乡	支路	20.74916014
262	10县区	3乡	主干路	63.83922491
263	科技县	4乡	支路	24.57040394
264	10县区	3乡	支路	20.17570656
265	09县区	1乡	次干路	47.77076045
266	09县区	4乡	主干路	69.79392889
267	科技县	3乡	快速路	86.35827089
268	11县区	1乡	快速路	97.93355028
269	09县区	4乡	快速路	116.1484922
270	10县区	4乡	快速路	81.21266907
271	09县区	4乡	快速路	85.11798838
272	09县区	1乡	支路	22.16318847
273	科技县	1乡	支路	27.22628593
274	科技县	3乡	主干路	79.67821474
275	11县区	3乡	支路	23.62479535
276	09县区	3乡	次干路	41.44346766
277	科技县	2乡	主干路	55.2591819
278	科技县	2乡	主干路	63.04228969
279	10县区	3乡	主干路	72.13303553
280	09县区	4乡	次干路	32.55473429
281	11县区	3乡	主干路	53.25083403
282	11县区	2乡	主干路	70.24240699
283	10县区	4乡	支路	25.86839
284	科技县	3乡	支路	23.83371652
285	10县区	3乡	快速路	89.76774224
286	科技县	1乡	次干路	41.06548159
287	10县区	4乡	次干路	49.39541161
288	科技县	3乡	支路	26.33265517
289	科技县	3乡	支路	27.00685644
290	10县区	2乡	支路	21.11271311
291	科技县	4乡	支路	24.68109543
292	09县区	2乡	主干路	70.70500004
293	10县区	4乡	次干路	49.25250048
294	11县区	1乡	主干路	56.90463606
295	09县区	3乡	快速路	117.9728165
296	11县区	4乡	快速路	102.0094304
297	09县区	3乡	次干路	40.26372282
298	科技县	2乡	支路	24.66676396
299	科技县	4乡	快速路	88.08030149
300	11县区	3乡	快速路	80.55853319
301	11县区	4乡	快速路	117.6400135
302	科技县	1乡	快速路	102.7918856
303	10县区	3乡	快速路	109.3497512
304	11县区	2乡	快速路	86.67048521
305	09县区	2乡	快速路	102.9542689
306	科技县	2乡	支路	23.80495096
307	10县区	2乡	主干路	67.22015961
308	09县区	1乡	主干路	76.51224935
309	科技县	2乡	主干路	65.21632691
310	科技县	2乡	主干路	69.28546768
311	11县区	3乡	主干路	77.23728583
312	09县区	3乡	支路	29.98904072
313	09县区	3乡	支路	29.41871439
314	科技县	1乡	快速路	116.8379735
315	09县区	4乡	快速路	117.7486027
316	11县区	2乡	快速路	112.8907644
317	11县区	4乡	快速路	91.00106076
318	10县区	4乡	主干路	76.0060281
319	11县区	1乡	次干路	40.90966705
320	10县区	3乡	快速路	110.3180315
321	10县区	4乡	支路	24.79760767
322	09县区	1乡	支路	28.14761702
323	10县区	1乡	次干路	49.07417898
324	11县区	1乡	次干路	33.40816364
325	10县区	4乡	主干路	61.19694417
326	11县区	2乡	快速路	96.78752002
327	10县区	2乡	主干路	76.72528209
328	10县区	1乡	支路	21.88608661
329	09县区	4乡	次干路	46.22415405
330	10县区	2乡	支路	26.96960874
331	10县区	3乡	快速路	96.38569828
332	09县区	2乡	次干路	33.20372066
333	11县区	3乡	快速路	83.06455324
334	09县区	2乡	次干路	41.93429191
335	10县区	2乡	主干路	75.74094891
336	10县区	3乡	支路	23.2887943
337	10县区	1乡	主干路	65.10836698
338	11县区	3乡	次干路	46.24014525
339	11县区	1乡	支路	20.53467156
340	10县区	3乡	快速路	116.4915806
341	10县区	3乡	快速路	95.30457942
342	10县区	1乡	支路	29.67698032
343	科技县	1乡	支路	28.47310049
344	09县区	4乡	支路	25.13692502
345	10县区	4乡	快速路	103.9078797
346	09县区	2乡	次干路	32.62181618
347	科技县	1乡	支路	25.29279884
348	09县区	2乡	支路	22.21241087
349	科技县	2乡	次干路	40.47469275
350	10县区	1乡	主干路	65.49579046
351	11县区	4乡	次干路	42.90220483
352	11县区	2乡	主干路	70.18087432
353	11县区	3乡	支路	22.77353629
354	10县区	2乡	支路	22.46411925
355	科技县	4乡	快速路	114.365308
356	科技县	4乡	次干路	35.48735885
357	09县区	3乡	支路	29.26949572
358	09县区	3乡	支路	24.9909136
359	科技县	2乡	主干路	50.27767464
360	11县区	4乡	次干路	30.29879627
361	10县区	3乡	主干路	74.81526132
362	10县区	1乡	快速路	99.10768005
363	10县区	4乡	次干路	32.95333364
364	10县区	1乡	次干路	39.68709818
365	科技县	2乡	支路	20.70808152
366	科技县	3乡	快速路	110.8483953
367	11县区	3乡	主干路	73.60854184
368	科技县	2乡	支路	28.93264958
369	科技县	3乡	次干路	47.4629117
370	10县区	3乡	快速路	118.0161674
371	09县区	3乡	支路	25.32239522
372	10县区	1乡	主干路	52.29013894
373	09县区	1乡	主干路	60.96556252
374	09县区	2乡	支路	21.85543046
375	09县区	2乡	主干路	56.74305848
376	09县区	1乡	支路	28.91336009
377	11县区	4乡	支路	23.30146002
378	10县区	4乡	快速路	109.9213057
379	科技县	3乡	次干路	34.66745607
380	11县区	3乡	次干路	37.86291485
381	科技县	2乡	次干路	32.23531624
382	11县区	3乡	主干路	62.26817918
383	10县区	1乡	快速路	84.03312406
384	09县区	2乡	快速路	98.13605978
385	10县区	4乡	次干路	48.21620471
386	11县区	4乡	快速路	91.11054307
387	科技县	3乡	主干路	69.70672278
388	09县区	3乡	支路	21.90711332
389	10县区	1乡	支路	22.47895304
390	09县区	2乡	主干路	71.03241174
391	10县区	1乡	主干路	51.15962398
392	10县区	2乡	主干路	53.73916115
393	10县区	4乡	次干路	35.55542683
394	科技县	4乡	次干路	40.80263372
395	11县区	4乡	主干路	61.56709358
396	11县区	2乡	次干路	32.18784559
397	11县区	1乡	次干路	33.98621284
398	09县区	3乡	次干路	39.72525039
399	10县区	1乡	支路	28.66077906
400	10县区	1乡	主干路	50.78802944
401	10县区	3乡	快速路	115.4149758
402	10县区	2乡	主干路	73.33979445
403	10县区	4乡	次干路	47.22569017
404	科技县	3乡	支路	29.77042271
405	10县区	4乡	次干路	40.69680228
406	09县区	1乡	快速路	94.89035499
407	10县区	3乡	次干路	49.56622477
408	11县区	2乡	支路	28.27500942
409	11县区	4乡	次干路	41.91580583
410	科技县	4乡	主干路	65.97794464
411	10县区	1乡	次干路	31.08929575
412	科技县	3乡	支路	25.26097771
413	10县区	2乡	快速路	118.0307743
414	10县区	3乡	主干路	70.71058102
415	科技县	3乡	主干路	69.65397336
416	09县区	2乡	支路	22.54609986
417	09县区	1乡	支路	28.92207089
418	09县区	2乡	次干路	40.16396881
419	10县区	4乡	支路	23.44826612
420	11县区	4乡	快速路	113.9823103
421	09县区	3乡	快速路	90.81071611
422	09县区	3乡	支路	27.62652799
423	科技县	2乡	快速路	86.21040577
424	09县区	4乡	支路	29.6900614
425	科技县	1乡	支路	28.12131523
426	09县区	2乡	主干路	58.5134302
427	09县区	3乡	主干路	79.02771063
428	11县区	1乡	主干路	64.94793847
429	科技县	4乡	次干路	47.59040572
430	11县区	4乡	支路	20.25713431
431	11县区	3乡	快速路	102.913282
432	09县区	4乡	快速路	84.43250942
433	09县区	1乡	主干路	55.39267274
434	11县区	3乡	支路	23.10458537
435	09县区	1乡	支路	28.96356512
436	10县区	2乡	次干路	45.52040827
437	11县区	3乡	次干路	40.70667615
438	10县区	1乡	主干路	68.38641943
439	科技县	3乡	支路	21.38441073
440	09县区	2乡	主干路	53.305114
441	科技县	4乡	次干路	45.40578029
442	09县区	1乡	主干路	62.18856422
443	11县区	1乡	支路	22.46507701
444	科技县	3乡	主干路	54.08454859
445	11县区	3乡	主干路	78.36512562
446	09县区	3乡	支路	29.69314185
447	10县区	4乡	快速路	81.18111034
448	11县区	4乡	快速路	81.20372352
449	09县区	1乡	次干路	40.49766532
450	09县区	4乡	主干路	56.18597365
451	10县区	3乡	主干路	68.22048235
452	科技县	1乡	支路	27.35753954
453	10县区	4乡	支路	21.54626477
454	10县区	3乡	支路	20.23610465
455	09县区	4乡	主干路	55.70039059
456	科技县	3乡	快速路	95.99474612
457	科技县	1乡	快速路	100.8795134
458	科技县	3乡	快速路	110.104564
459	10县区	1乡	主干路	70.24602511
460	11县区	2乡	主干路	50.87686002
461	科技县	4乡	主干路	72.16161849
462	09县区	4乡	次干路	39.57849795
463	09县区	1乡	支路	23.66824895
464	09县区	3乡	主干路	68.95135059
465	09县区	1乡	主干路	69.43500954
466	10县区	2乡	支路	22.56727456
467	11县区	4乡	支路	24.74280607
468	科技县	1乡	次干路	32.14359989
469	09县区	2乡	支路	26.50328313
470	09县区	4乡	次干路	38.70787896
471	10县区	2乡	次干路	39.52952799
472	10县区	1乡	次干路	32.04652511
473	09县区	4乡	次干路	38.58949745
474	10县区	1乡	支路	25.64091642
475	10县区	2乡	主干路	76.02614716
476	11县区	2乡	快速路	107.8611921
477	11县区	4乡	次干路	46.47144947
478	09县区	3乡	主干路	68.18447612
479	科技县	1乡	次干路	40.7335948
480	09县区	4乡	支路	23.41269133
481	科技县	3乡	支路	21.02057023
482	11县区	4乡	支路	27.83525415
483	科技县	3乡	主干路	66.99426882
484	科技县	3乡	支路	22.19004996
485	10县区	2乡	次干路	33.9181946
486	科技县	2乡	次干路	46.1664641
487	09县区	4乡	支路	23.75235078
488	10县区	2乡	快速路	119.3349263
489	09县区	1乡	主干路	68.91837202
490	09县区	1乡	次干路	46.18781788
491	科技县	3乡	快速路	115.556999
492	10县区	1乡	次干路	47.79910835
493	11县区	3乡	快速路	116.2915177
494	11县区	4乡	支路	22.48892666
495	09县区	3乡	次干路	36.84515117
496	11县区	1乡	快速路	103.4377614
497	10县区	2乡	快速路	95.63475284
498	10县区	3乡	支路	21.05531254
499	10县区	4乡	主干路	69.47698557
500	11县区	3乡	主干路	71.90445583
501	09县区	2乡	支路	22.6300601
502	09县区	4乡	支路	26.40034337
503	11县区	2乡	快速路	90.49993763
504	11县区	1乡	次干路	49.83187689
505	09县区	1乡	次干路	35.54474999
506	10县区	4乡	快速路	100.3234235
507	11县区	2乡	次干路	45.87861414
508	09县区	2乡	主干路	69.88709179
509	科技县	1乡	支路	27.17623077
510	10县区	1乡	快速路	116.4726868
511	11县区	4乡	主干路	70.94462118
512	09县区	4乡	主干路	69.21908159
513	科技县	1乡	主干路	51.32288622
514	10县区	2乡	主干路	78.36397271
515	科技县	4乡	快速路	111.7131846
516	10县区	1乡	次干路	30.32837795
517	科技县	1乡	次干路	34.92588058
518	09县区	1乡	快速路	113.2591866
519	10县区	4乡	支路	29.35331926
520	11县区	2乡	快速路	111.9547131
521	11县区	1乡	快速路	81.9013915
522	11县区	3乡	主干路	59.34418688
523	11县区	2乡	主干路	70.51797842
524	11县区	4乡	支路	22.23619614
525	09县区	4乡	主干路	65.89501238
526	科技县	4乡	次干路	49.31012744
527	11县区	1乡	主干路	79.01917278
528	10县区	1乡	次干路	48.14124434
529	11县区	2乡	支路	29.99484018
530	10县区	1乡	次干路	35.39842235
531	10县区	2乡	主干路	62.40828769
532	09县区	1乡	主干路	69.33857559
533	09县区	4乡	快速路	96.00870148
534	11县区	1乡	主干路	72.59084671
535	11县区	3乡	快速路	89.65573721
536	11县区	1乡	快速路	117.7616405
537	09县区	4乡	主干路	61.37301737
538	科技县	4乡	快速路	101.0392767
539	11县区	2乡	支路	20.30497448
540	10县区	4乡	主干路	61.73246923
541	09县区	3乡	次干路	43.825047
542	11县区	2乡	支路	20.67614793
543	09县区	3乡	快速路	88.57366044
544	10县区	3乡	次干路	42.80670121
545	科技县	4乡	支路	22.02750169
546	11县区	4乡	支路	23.32215544
547	10县区	4乡	主干路	56.01531735
548	10县区	3乡	次干路	35.15719702
549	10县区	3乡	次干路	40.6362009
550	10县区	3乡	主干路	67.23462339
551	11县区	3乡	支路	28.83631549
552	09县区	3乡	支路	20.68795125
553	科技县	2乡	支路	22.21685575
554	09县区	3乡	快速路	107.6811946
555	10县区	3乡	快速路	113.392829
556	10县区	4乡	次干路	33.40545235
557	11县区	1乡	次干路	43.04205738
558	09县区	3乡	次干路	36.1364131
559	10县区	2乡	次干路	41.22968506
560	科技县	4乡	支路	29.94049307
561	科技县	1乡	次干路	40.26289174
562	09县区	1乡	快速路	99.57470408
563	09县区	1乡	支路	25.65381643
564	10县区	1乡	支路	20.64186824
565	11县区	1乡	次干路	38.96078511
566	科技县	3乡	次干路	37.61349414
567	11县区	4乡	快速路	99.41030472
568	10县区	3乡	支路	21.8166725
569	09县区	2乡	次干路	40.54817761
570	10县区	2乡	支路	28.41448044
571	09县区	2乡	支路	21.3089861
572	10县区	3乡	主干路	72.10521969
573	10县区	3乡	支路	20.3808926
574	09县区	3乡	次干路	44.99069637
575	11县区	1乡	次干路	43.28512832
576	09县区	1乡	快速路	94.67779628
577	10县区	1乡	快速路	83.83603987
578	10县区	4乡	支路	22.07806535
579	科技县	2乡	次干路	33.00558193
580	11县区	1乡	次干路	46.79767963
581	科技县	3乡	快速路	100.76554
582	科技县	2乡	支路	29.25304364
583	09县区	2乡	快速路	107.6782063
584	11县区	1乡	支路	29.49285388
585	09县区	4乡	次干路	34.74424128
586	科技县	3乡	支路	29.30527208
587	11县区	1乡	支路	27.05097373
588	11县区	3乡	次干路	44.91472849
589	11县区	3乡	次干路	37.11242664
590	10县区	2乡	主干路	57.76037235
591	09县区	1乡	次干路	32.09308846
592	09县区	3乡	快速路	98.03055004
593	10县区	4乡	次干路	30.48973274
594	科技县	2乡	次干路	36.03707468
595	11县区	3乡	次干路	46.04897891
596	科技县	4乡	快速路	116.2577059
597	10县区	1乡	主干路	77.2494023
598	科技县	4乡	支路	21.0610808
599	10县区	2乡	快速路	110.9009301
600	09县区	3乡	主干路	74.38820357
601	09县区	3乡	次干路	48.16462768
602	10县区	1乡	次干路	45.81961705
603	11县区	3乡	快速路	107.3591385
604	09县区	2乡	次干路	38.66690628
605	11县区	2乡	快速路	105.6607397
606	10县区	4乡	支路	25.90797822
607	11县区	3乡	快速路	112.5502651
608	科技县	2乡	快速路	94.44523488
609	10县区	1乡	次干路	47.74713811
610	09县区	3乡	主干路	72.11208162
611	09县区	2乡	主干路	64.50074328
612	09县区	4乡	快速路	119.7826667
613	09县区	2乡	主干路	75.21137094
614	09县区	2乡	次干路	33.98214081
615	10县区	2乡	快速路	96.37690332
616	11县区	4乡	次干路	30.36311706
617	11县区	4乡	支路	22.39975848
618	09县区	1乡	支路	23.2161324
619	11县区	2乡	次干路	46.70908128
620	09县区	2乡	快速路	110.4894757
621	10县区	3乡	次干路	36.07409499
622	10县区	2乡	主干路	68.4491592
623	科技县	1乡	次干路	37.34348001
624	11县区	2乡	快速路	106.4207053
625	科技县	4乡	快速路	114.6398626
626	10县区	1乡	支路	28.52214641
627	09县区	4乡	主干路	64.387078
628	09县区	3乡	次干路	33.58610306
629	09县区	4乡	主干路	56.06188233
630	科技县	2乡	快速路	95.54750119
631	09县区	2乡	快速路	82.1023861
632	科技县	2乡	支路	29.13646797
633	09县区	3乡	次干路	31.64574183
634	10县区	3乡	快速路	93.44914547
635	09县区	1乡	快速路	113.0815547
636	09县区	2乡	支路	21.67711327
637	11县区	3乡	快速路	103.8444657
638	10县区	4乡	快速路	118.3481862
639	科技县	2乡	主干路	63.82921476
640	10县区	4乡	主干路	66.20028808
641	10县区	3乡	次干路	31.85366624
642	09县区	3乡	主干路	61.83833331
643	09县区	1乡	快速路	109.4548948
644	科技县	3乡	主干路	59.52352147
645	科技县	1乡	支路	25.57635925
646	科技县	3乡	支路	22.74616774
647	科技县	1乡	主干路	58.77395162
648	11县区	4乡	支路	22.98522404
649	09县区	3乡	支路	26.42130633
650	10县区	2乡	主干路	68.62376205
651	10县区	4乡	快速路	96.41780199
652	11县区	2乡	快速路	81.68380747
653	09县区	3乡	快速路	93.40926743
654	09县区	3乡	快速路	88.47492019
655	09县区	4乡	支路	29.87225725
656	09县区	2乡	主干路	58.62160517
657	10县区	3乡	支路	26.65006561
658	10县区	4乡	主干路	56.38868451
659	科技县	2乡	支路	22.94341217
660	10县区	2乡	快速路	107.3721232
661	科技县	4乡	支路	24.30309656
662	09县区	2乡	主干路	59.35556381
663	11县区	2乡	支路	23.78914635
664	10县区	2乡	主干路	63.05672793
665	科技县	1乡	次干路	40.89988191
666	科技县	2乡	主干路	60.8095144
667	10县区	4乡	快速路	89.01222707
668	10县区	4乡	主干路	63.38294241
669	11县区	3乡	快速路	119.7934435
670	09县区	4乡	次干路	32.72858417
671	科技县	3乡	主干路	69.23179491
672	10县区	4乡	次干路	33.80849561
673	科技县	1乡	主干路	63.13928321
674	11县区	2乡	快速路	98.68077031
675	09县区	3乡	主干路	64.07609793
676	10县区	1乡	主干路	78.31915984
677	09县区	4乡	支路	20.02788897
678	科技县	1乡	支路	24.76677213
679	11县区	1乡	快速路	104.3982088
680	10县区	3乡	快速路	101.6963186
681	09县区	3乡	支路	29.86418693
682	09县区	4乡	主干路	73.98321583
683	科技县	1乡	支路	29.5635867
684	科技县	3乡	次干路	42.56265853
685	09县区	3乡	主干路	69.08168274
686	11县区	2乡	快速路	99.95179499
687	09县区	4乡	快速路	117.0616259
688	11县区	4乡	支路	27.0001915
689	11县区	1乡	快速路	81.06570589
690	09县区	3乡	次干路	40.83898867
691	11县区	4乡	快速路	85.29035921
692	科技县	2乡	支路	26.64410141
693	10县区	1乡	次干路	41.36368565
694	09县区	4乡	快速路	104.2157508
695	09县区	1乡	快速路	113.5109218
696	11县区	2乡	支路	24.48037734
697	11县区	3乡	次干路	48.10306581
698	10县区	2乡	支路	21.6535621
699	11县区	1乡	支路	25.45690024
700	科技县	2乡	支路	20.71043806
701	09县区	3乡	次干路	37.15185519
702	11县区	3乡	支路	24.12115927
703	10县区	4乡	支路	23.75471401
704	09县区	3乡	支路	25.44886414
705	09县区	1乡	次干路	40.79264207
706	10县区	4乡	次干路	48.89341878
707	科技县	3乡	快速路	86.52276713
708	科技县	2乡	快速路	119.0509176
