道路编号	县区	道路等级	速度
321	11县区	支路	20.04728999
322	10县区	主干路	77.82885001
323	11县区	次干路	38.93199513
324	09县区	主干路	76.76457817
325	09县区	次干路	46.96720661
326	09县区	支路	23.82238457
327	11县区	次干路	32.47242376
328	09县区	快速路	114.4688886
329	09县区	次干路	33.65149673
330	11县区	快速路	91.75566253
331	09县区	次干路	38.19787201
332	科技县	次干路	38.70648984
333	10县区	支路	20.01863408
334	科技县	主干路	69.63899554
335	10县区	主干路	55.07469397
336	11县区	主干路	76.29458023
337	10县区	主干路	71.84331626
338	科技县	支路	22.92329466
339	09县区	主干路	62.3463526
340	10县区	支路	26.27918547
341	10县区	主干路	68.7493577
342	09县区	支路	23.34520539
343	10县区	主干路	60.97171297
344	10县区	次干路	48.82943654
345	科技县	次干路	41.74536355
346	10县区	支路	21.70519038
347	科技县	快速路	80.17345853
348	09县区	次干路	45.8701354
349	09县区	主干路	57.64950041
350	09县区	主干路	50.04197061
351	09县区	支路	23.28350682
352	10县区	主干路	54.63842921
353	09县区	快速路	95.13192265
354	科技县	次干路	44.34347947
355	科技县	次干路	30.32277163
356	10县区	支路	25.98678963
357	11县区	支路	24.47711975
358	11县区	主干路	54.52367462
359	11县区	支路	23.51002295
360	科技县	次干路	41.48659856
361	09县区	次干路	38.10915197
362	10县区	快速路	118.1532735
363	11县区	快速路	81.96374134
364	11县区	快速路	92.37792207
365	10县区	快速路	117.0475196
366	科技县	次干路	34.08007158
367	09县区	支路	26.83606984
368	科技县	快速路	87.62096607
369	09县区	支路	25.65123884
370	10县区	次干路	49.70165185
371	科技县	快速路	110.0966545
372	09县区	支路	23.29554695
373	11县区	主干路	65.43767164
374	11县区	支路	20.59703621
375	09县区	快速路	104.8562123
376	科技县	支路	22.43473185
377	11县区	快速路	106.9678605
378	09县区	支路	20.47682905
379	11县区	快速路	105.8931102
380	10县区	支路	24.42600073
381	09县区	快速路	80.61021406
382	10县区	快速路	112.4983967
383	11县区	快速路	80.08447759
384	11县区	支路	24.59369267
385	09县区	主干路	77.41166256
386	09县区	支路	20.58547921
387	09县区	次干路	36.15986782
388	10县区	支路	28.62321453
389	11县区	主干路	72.18399912
390	10县区	次干路	46.27692882
391	科技县	次干路	40.79417585
392	11县区	支路	25.18062041
393	11县区	主干路	65.29060345
394	11县区	支路	24.262569
395	10县区	快速路	117.5589866
396	10县区	快速路	110.7307169
397	10县区	支路	28.3652392
398	10县区	支路	29.23059891
399	科技县	快速路	119.0993094
400	科技县	次干路	49.15016642
401	09县区	支路	21.55139479
402	10县区	支路	26.67365183
403	10县区	支路	29.88257868
404	科技县	主干路	53.42532412
405	09县区	主干路	76.29635563
406	11县区	快速路	116.6605654
407	科技县	主干路	74.82515833
408	科技县	支路	28.00002369
409	11县区	次干路	35.58681426
410	09县区	次干路	46.62499716
411	10县区	快速路	113.3579632
412	科技县	支路	25.35732363
413	11县区	支路	26.9034745
414	11县区	支路	23.59623803
415	科技县	支路	26.07920365
416	10县区	支路	22.31176663
417	09县区	支路	28.32936876
418	10县区	次干路	36.87381044
419	10县区	次干路	37.84209956
420	科技县	快速路	90.48770709
421	09县区	次干路	40.74878266
422	09县区	快速路	98.92896508
423	11县区	支路	29.57071643
424	科技县	次干路	31.74199485
425	科技县	次干路	36.29337752
426	科技县	快速路	80.60428816
427	09县区	快速路	88.1128678
428	10县区	快速路	94.15340621
429	10县区	支路	23.86663854
430	11县区	主干路	56.89274936
431	科技县	主干路	57.89590463
432	09县区	主干路	78.39744931
433	09县区	主干路	54.84996833
434	科技县	主干路	73.30220066
435	科技县	次干路	36.37059543
436	09县区	支路	22.20433274
437	10县区	次干路	35.42749334
438	09县区	快速路	101.0435089
439	11县区	主干路	62.52551243
440	09县区	支路	24.86993762
441	09县区	支路	22.53448867
442	科技县	主干路	53.19373124
443	09县区	次干路	34.73121416
444	09县区	快速路	105.2942411
445	11县区	支路	20.00305662
446	科技县	次干路	42.11452801
447	11县区	快速路	102.2501662
448	11县区	支路	24.5854662
449	09县区	支路	22.85308893
450	科技县	快速路	113.3843082
451	09县区	主干路	64.13519207
452	11县区	支路	21.25504314
453	10县区	支路	23.61745184
454	科技县	主干路	55.52192022
455	科技县	次干路	46.94629953
456	11县区	主干路	52.96601571
457	10县区	主干路	68.16306981
458	09县区	次干路	34.76339349
459	科技县	快速路	93.73601595
460	09县区	主干路	53.13350058
461	科技县	支路	20.57609705
462	10县区	快速路	119.4639653
463	11县区	快速路	82.1379955
464	10县区	快速路	80.36617508
465	10县区	支路	21.74649896
466	11县区	快速路	92.90766567
467	10县区	支路	28.62539057
468	10县区	次干路	36.35052239
469	11县区	支路	23.01165633
470	10县区	支路	23.78471487
471	09县区	支路	23.46999296
472	10县区	主干路	57.19634565
473	11县区	次干路	34.74274466
474	10县区	快速路	108.9282603
475	09县区	支路	23.20712868
476	科技县	主干路	51.73691831
477	09县区	支路	24.88074674
478	11县区	次干路	32.47221206
479	09县区	快速路	117.7068692
480	10县区	主干路	76.94866965
481	11县区	支路	25.17372998
482	11县区	快速路	83.30535169
483	科技县	次干路	34.42553569
484	10县区	主干路	71.99628805
485	09县区	主干路	67.24682272
486	10县区	快速路	109.3048052
487	10县区	快速路	108.5290595
488	10县区	主干路	56.82720522
489	09县区	快速路	104.5623593
490	10县区	支路	20.35794767
491	10县区	次干路	48.11567041
492	科技县	次干路	41.97663592
493	09县区	支路	22.65428809
494	科技县	主干路	62.10252423
495	科技县	次干路	44.95062916
496	10县区	主干路	55.48157097
497	11县区	主干路	58.44878003
498	科技县	支路	22.54058557
499	10县区	主干路	52.54152705
500	11县区	主干路	71.53816346
501	11县区	主干路	53.62674391
502	09县区	主干路	52.03299878
503	科技县	次干路	44.12141194
504	10县区	支路	20.56107131
505	科技县	次干路	49.39529013
506	10县区	主干路	59.51501451
507	科技县	支路	23.40984233
508	09县区	支路	20.76005645
509	10县区	主干路	60.02723365
510	10县区	快速路	86.68099031
511	11县区	快速路	97.97561001
512	11县区	主干路	66.51036814
513	10县区	次干路	43.44823391
514	11县区	次干路	37.78609646
515	科技县	次干路	41.56005759
516	09县区	快速路	94.36345736
517	11县区	主干路	79.9516272
518	10县区	快速路	80.86697588
519	科技县	支路	24.92961409
520	09县区	主干路	75.83072399
521	科技县	支路	20.57056097
522	10县区	支路	29.44206721
523	10县区	支路	28.91521709
524	11县区	主干路	57.84604772
525	10县区	快速路	105.4880778
526	11县区	快速路	82.06519068
527	11县区	支路	21.52300157
528	09县区	支路	21.34978215
529	10县区	次干路	36.50038446
530	科技县	支路	20.47876946
531	10县区	支路	23.43207195
532	09县区	主干路	69.41845117
533	10县区	快速路	92.34913793
534	09县区	快速路	83.26993249
535	11县区	主干路	53.57466181
536	科技县	主干路	72.4925877
537	09县区	快速路	89.41688395
538	09县区	支路	20.07394915
539	09县区	支路	25.2100017
540	09县区	快速路	96.1113474
541	科技县	快速路	98.05411021
542	09县区	次干路	30.13637322
543	科技县	主干路	70.00024921
544	10县区	支路	26.20515648
545	09县区	主干路	77.04446969
546	09县区	快速路	114.8364941
547	11县区	次干路	38.49281936
548	11县区	主干路	61.56767559
549	11县区	主干路	58.77366896
550	科技县	主干路	68.71451467
551	科技县	主干路	78.1056687
552	11县区	次干路	37.45194977
553	09县区	次干路	40.23758503
554	11县区	主干路	61.45086498
555	科技县	支路	29.24861942
556	09县区	快速路	82.77820906
557	10县区	支路	24.99578214
558	科技县	次干路	36.33877823
559	10县区	主干路	72.06501662
560	10县区	快速路	104.7925321
561	11县区	次干路	37.19686111
562	11县区	支路	27.90659142
563	11县区	主干路	79.43128312
564	10县区	支路	21.7040609
565	09县区	支路	20.08276557
566	10县区	支路	29.27299425
567	10县区	快速路	111.3670511
568	09县区	次干路	40.55603768
569	11县区	支路	26.69586217
570	10县区	主干路	79.292449
571	11县区	快速路	88.3835374
572	10县区	快速路	107.4527785
573	11县区	支路	24.6709032
574	科技县	支路	21.207055
575	09县区	主干路	72.94110361
576	科技县	快速路	110.9064268
577	科技县	支路	25.63294769
578	09县区	次干路	33.18068062
579	11县区	主干路	72.2056338
580	10县区	快速路	82.16934921
581	科技县	次干路	39.06538326
582	11县区	支路	20.81201523
583	11县区	次干路	38.31612302
584	10县区	快速路	118.8934919
585	09县区	支路	29.85886173
586	11县区	主干路	54.47542533
587	10县区	主干路	79.05757818
588	科技县	次干路	37.80907525
589	09县区	主干路	71.11855089
590	11县区	快速路	100.9787797
591	10县区	支路	27.84913073
592	11县区	快速路	95.13395697
593	科技县	支路	23.47260986
594	11县区	快速路	83.79780409
595	11县区	主干路	61.8477063
596	11县区	支路	20.23701474
597	11县区	主干路	78.6271624
598	11县区	次干路	44.43570992
599	科技县	快速路	80.11178484
600	09县区	次干路	30.0242441
601	科技县	主干路	50.19023803
602	科技县	主干路	67.60382251
603	科技县	支路	25.76814981
604	11县区	次干路	40.29773775
605	11县区	支路	20.33213226
606	09县区	次干路	47.42315631
607	科技县	支路	20.49931054
608	09县区	主干路	65.10579949
609	11县区	快速路	98.37431435
610	11县区	主干路	77.85633847
611	11县区	主干路	71.20978998
612	09县区	主干路	65.77535984
613	10县区	主干路	59.83920628
614	11县区	主干路	74.20831357
615	09县区	主干路	52.24111584
616	10县区	支路	22.23212482
617	10县区	主干路	76.88496555
618	09县区	主干路	55.98164638
619	09县区	快速路	111.1125377
620	10县区	次干路	43.64090011
621	09县区	次干路	30.90249324
622	09县区	快速路	86.07638292
623	10县区	主干路	75.20511094
624	10县区	快速路	111.8465621
625	10县区	次干路	39.80929103
626	09县区	次干路	31.70141515
627	11县区	支路	29.15837911
628	科技县	主干路	61.21556114
629	11县区	支路	25.82343926
630	11县区	次干路	35.91963966
631	11县区	快速路	83.7738287
632	科技县	快速路	114.6235877
633	10县区	快速路	112.0241372
634	科技县	支路	25.26817148
635	09县区	次干路	44.64968159
636	科技县	次干路	33.783535
637	11县区	支路	22.42430349
638	11县区	快速路	100.98236
639	11县区	主干路	52.68074981
640	10县区	快速路	86.63199996
641	科技县	次干路	35.6475811
642	科技县	主干路	66.17425616
643	11县区	次干路	47.40283163
644	11县区	主干路	70.25368393
645	10县区	次干路	33.68268839
646	科技县	主干路	51.43446909
647	科技县	次干路	42.13743991
648	09县区	主干路	56.70364537
649	10县区	次干路	47.60432584
650	11县区	快速路	90.56040164
651	科技县	快速路	115.9713249
652	11县区	快速路	96.71924541
653	09县区	快速路	114.8742305
654	11县区	次干路	35.62665682
655	09县区	支路	25.63701861
656	科技县	次干路	46.46069559
657	09县区	次干路	49.58031047
658	11县区	支路	27.9834159
659	09县区	快速路	116.7052961
660	09县区	快速路	93.15679349
661	科技县	快速路	97.47782926
662	10县区	次干路	46.52526671
663	科技县	快速路	85.78210584
664	10县区	快速路	106.0370258
665	11县区	支路	26.43601673
666	科技县	次干路	37.86925735
667	11县区	主干路	56.37514208
668	科技县	主干路	66.62666238
669	10县区	次干路	30.35464316
670	09县区	次干路	42.84398836
671	09县区	主干路	67.70856116
672	10县区	次干路	31.1333368
673	科技县	主干路	77.686155
674	10县区	次干路	40.53035511
675	科技县	次干路	45.54521481
676	10县区	主干路	66.51033415
677	09县区	快速路	113.1989433
678	科技县	次干路	31.03418585
679	09县区	次干路	37.09970043
680	10县区	快速路	107.5923658
681	11县区	快速路	103.3418582
682	11县区	主干路	72.99465535
683	10县区	主干路	50.68160569
684	11县区	快速路	107.4461521
685	11县区	主干路	65.11469706
686	09县区	次干路	34.86929745
687	09县区	次干路	48.07464688
688	科技县	主干路	50.67123306
689	10县区	主干路	69.64950123
690	09县区	快速路	85.73074437
691	11县区	次干路	44.02207804
692	科技县	支路	21.29424366
693	10县区	支路	28.20822671
694	10县区	次干路	46.90096409
695	10县区	次干路	32.74324674
696	09县区	支路	27.13060715
697	09县区	次干路	37.4158836
698	09县区	快速路	86.86361685
699	09县区	快速路	114.5829566
700	科技县	主干路	76.60670921
701	10县区	主干路	61.49653521
702	09县区	快速路	112.1464589
703	11县区	快速路	100.4736133
704	科技县	快速路	102.9320774
705	09县区	快速路	86.30436538
706	11县区	次干路	33.41767885
707	11县区	次干路	35.25274142
708	10县区	次干路	46.17752049
709	10县区	主干路	62.03946534
710	科技县	主干路	56.10561664
711	科技县	主干路	65.74513581
712	11县区	次干路	44.49167628
713	09县区	次干路	40.93360304
714	11县区	次干路	31.43217985
715	10县区	快速路	113.304409
716	11县区	次干路	32.92733633
717	10县区	快速路	100.5219265
718	科技县	支路	28.44172958
719	11县区	主干路	66.31970836
720	科技县	快速路	110.9945134
721	10县区	快速路	97.56502694
722	10县区	主干路	64.39134274
723	科技县	次干路	39.97416155
724	09县区	主干路	67.13204895
725	科技县	快速路	82.97560581
726	11县区	支路	20.63617256
727	10县区	次干路	37.77291511
728	11县区	次干路	43.59643821
729	09县区	支路	24.00876985
730	科技县	主干路	51.60934588
731	11县区	次干路	33.03433104
732	11县区	支路	21.19015809
733	10县区	支路	23.69068986
734	11县区	快速路	102.1768355
735	科技县	主干路	75.23546875
736	11县区	快速路	118.8503485
737	11县区	支路	20.43034703
738	10县区	次干路	48.69359279
739	科技县	支路	25.40535013
740	科技县	次干路	37.58741848
741	10县区	主干路	78.08525355
742	11县区	次干路	34.72012507
743	11县区	快速路	105.0990075
744	10县区	主干路	54.73932096
745	10县区	次干路	37.50153418
746	10县区	快速路	111.1128415
747	科技县	支路	26.66373625
748	09县区	支路	27.20983888
749	科技县	快速路	115.9680564
750	科技县	主干路	69.23375751
751	09县区	主干路	79.46865137
752	11县区	快速路	110.57203
753	科技县	主干路	53.60028269
754	10县区	主干路	73.84382965
755	11县区	主干路	67.93953218
756	10县区	支路	25.27055187
757	科技县	快速路	103.6578009
758	科技县	支路	27.55496354
759	科技县	次干路	37.70095069
760	科技县	快速路	109.1747697
761	11县区	次干路	41.97302934
762	10县区	主干路	66.371253
763	09县区	快速路	90.78410256
764	09县区	次干路	49.03381992
765	科技县	主干路	57.0265788
766	10县区	主干路	78.07329994
767	09县区	主干路	61.31818361
768	09县区	支路	23.96399235
769	10县区	快速路	113.5535993
770	科技县	快速路	88.37634711
771	09县区	主干路	79.30719264
772	09县区	主干路	61.61961813
773	11县区	支路	29.32582214
774	科技县	支路	25.02031248
775	11县区	支路	21.6147368
776	10县区	主干路	59.97507038
777	10县区	次干路	32.2438952
778	10县区	次干路	33.32877828
779	09县区	次干路	46.40901089
780	09县区	主干路	52.71025282
781	09县区	次干路	40.95966472
782	10县区	次干路	35.45608175
783	科技县	主干路	65.75097263
784	科技县	快速路	110.5398181
785	09县区	快速路	104.4814952
786	科技县	次干路	30.91815168
787	科技县	快速路	118.4602399
788	科技县	支路	26.43534675
789	09县区	次干路	43.63996839
790	09县区	次干路	36.18419327
791	10县区	支路	25.29176781
792	11县区	主干路	76.89177243
793	09县区	主干路	66.11125943
794	科技县	次干路	47.91235917
795	科技县	主干路	68.59292042
796	09县区	主干路	53.44500451
797	10县区	支路	21.0200319
798	10县区	快速路	101.8193993
799	11县区	支路	26.91802439
800	09县区	支路	27.73044172
801	09县区	快速路	97.71732717
802	10县区	主干路	53.03394371
803	10县区	次干路	37.78767214
804	11县区	快速路	88.15417713
805	11县区	快速路	97.74529055
806	11县区	主干路	74.00694193
807	科技县	支路	28.17511648
808	10县区	次干路	39.49538197
809	09县区	快速路	86.3460067
810	09县区	支路	23.65392619
811	科技县	快速路	102.6459884
812	科技县	次干路	33.97133306
813	11县区	快速路	91.59374325
814	11县区	次干路	38.9166573
815	11县区	次干路	46.91178493
816	科技县	次干路	33.74675145
817	11县区	次干路	44.09373004
818	09县区	支路	25.43037569
819	科技县	支路	26.50117411
820	10县区	主干路	50.31706397
821	10县区	主干路	58.73303807
822	科技县	主干路	78.23087115
823	10县区	快速路	81.23718992
824	09县区	支路	23.08388731
825	09县区	主干路	79.80811743
826	09县区	快速路	112.1574667
827	11县区	次干路	34.98113641
828	科技县	次干路	41.61306888
829	11县区	主干路	63.01917117
830	11县区	次干路	48.47085215
831	10县区	次干路	43.51100931
832	10县区	支路	27.50329347
833	11县区	主干路	50.06271901
834	10县区	快速路	101.9251104
835	09县区	支路	21.08888788
836	科技县	快速路	87.5519926
837	10县区	次干路	45.32522195
838	09县区	主干路	64.45223302
839	11县区	次干路	40.82316425
840	09县区	次干路	44.13943726
841	10县区	快速路	108.9951585
842	11县区	支路	29.56768783
843	10县区	支路	29.46789959
844	11县区	主干路	53.76219196
845	科技县	快速路	113.0609754
846	11县区	次干路	43.79014368
847	科技县	次干路	42.84463758
848	10县区	主干路	79.92084948
849	科技县	主干路	72.22810973
850	09县区	次干路	32.66111324
851	科技县	主干路	76.10766507
852	11县区	主干路	54.04125395
853	11县区	快速路	119.5633806
854	09县区	主干路	51.67056393
855	09县区	快速路	83.19482494
856	09县区	主干路	67.17620866
857	11县区	次干路	40.96692608
858	11县区	主干路	66.15330532
859	10县区	主干路	77.32009141
860	09县区	支路	24.83437852
861	11县区	主干路	64.60329673
862	11县区	次干路	43.47155494
863	11县区	快速路	81.5217486
864	科技县	次干路	37.51482326
865	09县区	主干路	76.04313976
866	11县区	支路	20.29509763
867	10县区	次干路	37.73313326
868	09县区	主干路	50.97211551
869	11县区	支路	22.81699797
870	09县区	支路	26.38524148
871	11县区	次干路	37.01498138
872	11县区	支路	22.53877395
873	科技县	次干路	34.77985192
874	09县区	支路	28.47663495
875	科技县	支路	28.04406081
876	10县区	支路	22.82494418
877	10县区	次干路	45.89307208
878	10县区	支路	20.13986229
879	10县区	次干路	47.74945048
880	10县区	快速路	111.0982997
881	10县区	次干路	30.41199572
882	11县区	快速路	110.2425657
883	09县区	次干路	31.80573092
884	科技县	主干路	78.47329412
885	11县区	快速路	101.83211
886	11县区	主干路	50.104237
887	10县区	快速路	102.3897607
